university,university_id
University of New Hampshire,62520
University of Maine,62432
Harvard Business School,63013
University of Bern,63183
Unknown Organisation,0
University of Chicago,42092
Instituto Tecnolgico y de Estudios Monterrey,63342
Kungliga Tekniska Hgskolan (KTH Royal Institute of Technology),36925
Universitt Mannheim (University of Mannheim),44135
Harvard College,63125
Stanford University School of Law,77691
Sciences Po (Institut d'Etudes Politiques de Paris) (IEP) (Paris Institute of Political Studies),63077
Aix-en-Provence,63292
Universit de Paris (University of Paris),63318
Handelshgskolan i Stockholm (Stockholm School of Economics),76943
Yale University,62981
Lehigh University,61143
Indiana Institute of Technology (Indiana Tech),489185
Princeton University,61632
Institut Le Rosey,601636
Universitt Zrich (University of Zurich),1583883
Massachusetts Institute of Technology (MIT),40436
cole Polytechnique - Paris,60598
Boston College,60193
George Washington University,60749
Universitat Basel (University of Basel),62183
Wharton School University of Pennsylvania,64966
Robert College,560675
cole Normale Suprieure (ENS),60595
cole Nationale d'Administration (ENA),63314
Helsinki University of Technology,36374
Ludwig Maximilians Universitt Mnchen (Ludwig Maximilians University of Munich),61190
cole Nationale Superieure des Mines de Paris (ENSMP) (Mines ParisTech),63071
University of Virginia,62777
University of Pennsylvania,62579
Columbia Business School,63118
Politecnico di Torino (Polytechnic University of Turin),61605
Georg August Universitt Gttingen (Georg August University of Gttingen),62327
London Chamber of Commerce and Industry Examinations Board,141206
University of Luxembourg,63458
Universit Paris 1 - Pantheon Sorbonne (Paris 1 University - Pantheon Sorbonne),64885
University of Southern California (USC),62673
Columbia University,60434
Oxford University,61561
Gonville and Caius College Cambridge University,63210
St John's College Johannesburg,64304
Temple University,62035
Harvard University,63830
Rochester Institute of Technology (RIT),80404
Harvard Law School,63035
College of the Holy Cross,60424
University of Cambridge,60268
cole des Hautes tudes Commerciales de Paris (HEC Paris School of Management) (HEC Paris),60833
Leonard N Stern School of Business New York University,42226
New York University (NYU),61424
Yeshiva University,79331
University of Cape Town,42659
South African Institute of Chartered Accountants (SAICA),74592
University of North Texas (UNT) (Formerly known as North Texas State University),62539
Royal Danish School of Pharmacy,61722
Strasbourg University,61965
Sir George Williams University,575025
McGill University (Canada),61248
Kantonale Handels-Schule,63041
New School for Social Research,61420
Universit degli Studi di Firenze (University of Florence),62696
Eugene M Isenberg School of Management University of Massachusetts,490877
University of Massachusetts,63512
Carnegie Mellon University Tepper School of Business,856478
Drake University,60540
University of Tennessee,64218
Gresham College,138166
Universidade Catlica de Braslia UCB (Catholic University of Brasilia),62230
cole Nationale Superieure des Mines de Saint Etienne (ENSMSE),60586
Institute of Chartered Accountants in England and Wales (ICAEW),36362
Imperial College London (The Imperial College of Science Technology and Medicine),63104
International Institute for Management Development (IMD),41177
Universitt Karlsruhe (TH) (University of Karlsruhe) (Ceased Trading 10/2009),62385
Fairleigh Dickinson University,60671
University of New Orleans,62523
Cesk vysok ucen technick v Praze (Czech Technical University in Prague),2296166
McDaniel College (Formerly known as Western Maryland College),820776
Universite Catholique de Louvain (UCL) (University of Louvain),63180
cole superieure d'electricite (ESE) (SUPELEC) (Ceased Trading 01/2015),60602
Northwestern University Medical School,460048
Carleton College,60282
Duke University Medical Center,802369
Keele University,61057
London Graduate School of Business Studies,63995
University of Liverpool,62417
Chartered Institute of Management Accountants (CIMA) (UK),36355
Fairfield University,39472
Iona College,79469
Niagara University,83177
cole Centrale Paris (cole centrale des arts et manufactures) (ECP) (Ceased Trading 01/2015),60576
Duke University,60547
Pepperdine University,61585
Association of Corporate Treasurers (ACT) (UK),36333
University of Nebraska,62511
Cornell University,60457
University of Law (Formerly known as College of Law of England and Wales) (The),64927
St Parks School,65499
University of Western Ontario,62795
Stanford University Graduate School of Business,67360
Palmerston North Girls High School,69705
University of Canterbury,561756
American Institute of Certified Public Accountants (AICPA),54373
Uniwersytet Ekonomiczny w Poznaniu (Pozna University of Economics),894055
Universiteit van Amsterdam (University of Amsterdam),62148
University of the West of England,62792
Stanford University,61935
cole Polytechnique Fdrale de Lausanne (EPFL) (Federal Polytechnic University of Lausanne),602911
University of Madrid,36331
Queens College,594394
Limburg Business School,1546186
London School of Economics (LSE) (London School of Economics and Political Science),38522
University of Leicester,62408
Universidad de Barcelona (University of Barcelona),138141
Institute of Bankers (Ireland),37530
City of London Freemen's School,1735215
University of Mississippi,62481
University of California Los Angeles (UCLA),62218
Institute of Paper Science and Technology (IPST) (Formerly known as Institute of Paper Chemistry),100587
International Academy of Management and Economics (LAME),69560
Queen's University,63329
University of Southampton,62672
Cranfield School of Management,63287
Kellogg School of Management Northwestern University,77878
Loyola University Chicago,1578750
Nashville School Of Law,423781
University of Louisville,62424
ASIS International (American Society for Industrial Security (ASIS)),468665
Institute of Chartered Secretaries and Administrators (ICSA) (UK),36353
Morgan Academy Dundee,63778
Dundee Institute of Technology,63779
Universitt des Saarlandes Saarbrcken (University of Saarland Saarbrcken),42710
Technical University of Lvov (Ukraine),63312
University of Manitoba,62443
Massachusetts Institute of Technology (MIT) Sloan School of Management,63283
University of St Andrews,127602
Chartered Institute of Logistics and Transport (CILT),485479
Institute of Chemical Engineers (IChemE) (UK),38565
University of Scranton,62658
Indiana University,60920
Ohio State University (OSU),61523
Case Western Reserve University (CWRU),60290
St Bonaventure University,79974
Robert Gordon College Aberdeen,56124
University of Aberdeen,62127
Institute of Chartered Accountants of Scotland CA (ICAS),65335
Baldwin Wallace University (Baldwin-Wallace College prior to 07/2012),60122
Universite Libre de Bruxelles (ULB) (Free University of Brussels),62412
King's College Cambridge University of Cambridge,63510
Wayne State University,80234
Chartered Institute of Bankers (CIB) (UK),36692
Glasgow Caledonian University,63113
University of Nevada,90657
Queen Mary University of London (Formerly known as Queen Mary and Westfield College),37254
University of London,62421
Whitgift School,63596
Syracuse University,61983
Churchill College Cambridge University,63200
University of East Anglia,62286
University of Illinois (UIC),62367
Loyola University School of Business,936402
University of Michigan,63187
University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1342262
cole Nationale Superieure des Telecommunications (ENST) (Telecom) (Telecom ParisTech),60592
Swiss Institute of Certified Accountants and Tax Consultants,254451
State University of New Jersey Rutgers (Rutgers University),100431
Milton College,486808
Institute of Chartered Financial Analysts (ICFA) (USA),41274
Lake Forest College,77954
Pace University,61563
Ball State University,79279
University of Ntre Dame,62544
London Business School,61171
Institute of Chartered Accountants in Ireland (ICAI),37538
Irish Tax Institute (ITI),1885187
University of Bradford,62197
University of Surrey,62712
Institute of Actuaries (Ceased Trading 08/2010),36361
Pensions Management Institute,64906
Universidad del Pas Vasco (University of the Basque Country),62184
