from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
First Real Estate Investment Trust of New Jersey,1001725,New York State Bar Association (NYSBA),256477,John Aiello,751301,Executive Secretary (Non-Brd),2015-12-03,,Member,,
JPMORGAN CHASE & CO,17528,New York State Bar Association (NYSBA),256477,Jeffrey Fahs,750226,Director - Compliance (Non-Brd),2015-08-01,2017-06-01,Member,,
Hudson Valley Holding Corp (Listed 09/2009),1211616,New York State Bar Association (NYSBA),256477,James Coogan,753562,Secretary (Brd) (ED),1997-01-01,2009-09-21,Committee Member,,
Cahill Gordon & Reindel LLP,80214,New York State Bar Association (NYSBA),256477,Rod Dowling,753827,Associate (Non-Brd),1965-01-01,1972-01-01,Member,,
Center for International Private Enterprise Inc (CIPE),95482,New York State Bar Association (NYSBA),256477,Peter Cleveland,746077,Director -  SD (Brd) (SD),,,Member,,
L3 TECHNOLOGIES INC (L-3 Communications Holdings Inc prior to 01/2017) (De-listed 07/2019),18284,New York State Bar Association (NYSBA),256477,Ann Davidson,746794,Senior VP/General Counsel/Corporate Secretary (Non-Brd),2016-08-15,2018-01-01,Member,,
NextVR Inc,2321106,New York State Bar Association (NYSBA),256477,Peter Guber,751734,Director -  SD (Brd) (SD),,,Member,,
Veronis Suhler Stevenson Partners LLC,68226,New York State Bar Association (NYSBA),256477,Bert Abrams,751133,Senior Advisor (Non-Brd),2009-01-01,2012-01-01,Member,,
Sullivan & Cromwell LLP,489314,New York State Bar Association (NYSBA),256477,Sami Farhad,753895,Associate (Non-Brd),2003-08-01,2006-02-01,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Bert Abrams,751133,Partner (Non-Brd),,,Member,,
Sullivan & Cromwell LLP,489314,New York State Bar Association (NYSBA),256477,Sami Farhad,753895,Associate (Non-Brd),2001-09-01,2002-08-01,Member,,
Latham & Watkins LLP,482007,New York State Bar Association (NYSBA),256477,Bruce Stachenfeld,744951,Lawyer (Non-Brd),1988-01-01,1991-01-01,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Non-Brd),1999-02-11,2000-02-11,Member,,
Diego Pellicer Worldwide Inc (Type 1 Media Inc prior to 02/2015),2294959,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Non-Brd),2016-06-01,,Member,,
Lightyear Capital LLC,79395,New York State Bar Association (NYSBA),256477,Lori Forlano,753615,MD (Brd) (ED),2005-09-01,2013-01-01,Member,,
DESTINY MEDIA TECHNOLOGIES INC,1204340,New York State Bar Association (NYSBA),256477,Larry Langs,745444,Independent Director (Brd) (SD),2000-11-01,2015-01-20,Member,,
Eos Partners LP,468343,New York State Bar Association (NYSBA),256477,Read Hubbard,753553,Principal (Non-Brd),2001-12-01,2011-12-01,Member,,
DIGITAL TURBINE INC (Mandalay Digital Group Inc prior to 01/2015),1958074,New York State Bar Association (NYSBA),256477,Howard Guber,751734,Chairman (Brd) (SD),2013-06-12,2015-01-20,Member,,
Suntrust Robinson Humphrey Inc (STRH),853383,New York State Bar Association (NYSBA),256477,Rod Dowling,753827,Director -  SD (Brd) (SD),,,Member,,
EnterConnect Inc (Ceased Trading 2011),1090701,New York State Bar Association (NYSBA),256477,Michael Wainstein,746226,Director -  SD (Brd) (SD),,,Member,,
Golub Capital LLC,660505,New York State Bar Association (NYSBA),256477,Richard Jacobson,756950,MD (Non-Brd),2014-01-01,,Member,,
Midwest Energy Emissions Corp (China Youth Media Inc prior to 10/2011),1203550,New York State Bar Association (NYSBA),256477,David Kaye,745289,Director -  SD (Brd) (SD),,,Member,,
Lightyear Capital LLC,79395,New York State Bar Association (NYSBA),256477,Lori Forlano,753615,MD/Chief Administrative Officer/General Counsel (Non-Brd),2013-01-01,,Member,,
HUDSON VALLEY HOLDING CORP (De-listed 06/2015),15186,New York State Bar Association (NYSBA),256477,James Coogan,753562,Secretary (Brd) (ED),2009-09-21,2010-01-01,Committee Member,,
ES Bancshares Inc,1205427,New York State Bar Association (NYSBA),256477,Les Apple,747141,Independent Director (Brd) (SD),2006-08-15,2008-03-18,Member,,
LEAF GROUP LTD (Demand Media Inc prior to 11/2016),1684312,New York State Bar Association (NYSBA),256477,Howard Guber,751734,Independent Director (Brd) (SD),2011-01-26,2015-08-13,Member,,
First Real Estate Investment Trust of New Jersey,1001725,New York State Bar Association (NYSBA),256477,John Aiello,751301,Executive Secretary (Brd) (ED),2002-08-01,2015-12-03,Member,,
Hudson Valley Holding Corp (Listed 09/2009),1211616,New York State Bar Association (NYSBA),256477,Mary-Jane Foster,753598,Director -  SD (Brd) (SD),,,Member,,
INTEL CORP,16239,New York State Bar Association (NYSBA),256477,Peter Cleveland,746077,Division VP (Non-Brd),2008-11-01,,Member,,
Pan American Goldfields Ltd (Mexoro Minerals Ltd prior to 07/2010),1146941,New York State Bar Association (NYSBA),256477,Steven Sanders,756946,Director -  SD (Brd) (SD),,,Member,,
"Foley & Lardner LLP (Friedman, Wang & Bleiberg PC prior to 07/2004)",570020,New York State Bar Association (NYSBA),256477,Steve Good,754698,Partner (Non-Brd),2018-04-01,,Member,,
First Real Estate Investment Trust of New Jersey,1001725,New York State Bar Association (NYSBA),256477,David McBride,751268,Independent Trustee (Brd) (SD),2007-05-15,,Member,,
Sack Lunch Productions Inc (Nexia Holdings Inc prior to 04/2015),17782,New York State Bar Association (NYSBA),256477,Gerald Einhorn,756785,VP/Secretary (Brd) (ED),2002-06-10,2012-01-01,Member,,
DIGITAL TURBINE INC (Mandalay Digital Group Inc prior to 01/2015),1958074,New York State Bar Association (NYSBA),256477,Howard Guber,751734,Independent Director (Brd) (SD),2015-01-20,2015-08-10,Member,,
Sack Lunch Productions Inc (Nexia Holdings Inc prior to 04/2015),17782,New York State Bar Association (NYSBA),256477,Gerald Einhorn,756785,Director -  SD (Brd) (SD),,,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Non-Brd),2016-07-31,,Member,,
SYBASE INC (De-listed 07/2010),29753,New York State Bar Association (NYSBA),256477,Larry Langs,745444,Business Development Manager (Non-Brd),1995-01-01,1996-01-01,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Brd) (ED),1999-02-11,2000-02-11,Member,,
ITT INC (ITT Corp prior to 05/2016),17153,New York State Bar Association (NYSBA),256477,Ann Davidson,746794,First Vice President (Non-Brd),2008-10-08,2011-10-31,Member,,
Hellman & Friedman LLC,43479,New York State Bar Association (NYSBA),256477,Arrie Park,746574,MD/General Counsel/Chief Legal Officer (Brd) (ED),2004-02-01,2018-01-01,Member,,
