from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
WALMART INC (Wal-Mart Stores Inc prior to 02/2018),33046,Blount County Drug Court Foundation Inc,2291261,Boyce Smith,870167,Regional Manager (Non-Brd),1984-11-01,,President,,
CYTOMX THERAPEUTICS INC,2355071,Entrinsic Health Solutions LLC,2291269,Doctor Charlie Fuchs,1945701,Independent Director (Brd) (SD),2017-10-23,,Advisory Board Member (Non-Brd),,
Massachusetts Biotechnology Council Inc (MassBio),421269,Entrinsic Health Solutions LLC,2291269,Luba Greenwood,2028135,Director -  SD (Brd) (SD),,,Advisor (Non-Brd),,
1ST SOURCE CORP,222,Junior League of Charlottesville,2291271,Allison Egidi,1112093,Director -  SD (Brd) (SD),,,Member,,
1ST SOURCE CORP,222,Junior League of Charlottesville,2291271,Allison Egidi,1112093,Independent Director (Brd) (SD),2011-04-21,2012-01-01,Member,,
Elements Behavioral Health Inc (Subacute Hldgs Inc prior to 05/2009),1609834,Bloodworks Northwest,2291275,David Kosloff,765817,Director -  SD (Brd) (SD),,,Trustee,,
Intellectual Property Owners Association (IPO),535034,Bloodworks Northwest,2291275,Phyllis Turner-Brim,1618631,Director -  SD (Brd) (SD),,,Trustee,,
Arsanis Inc (Listed 11/2017),1724042,Creabilis Ltd,2291288,Doctor Claudio Nessi,1737921,Independent Director (Brd) (SD),2013-08-01,2017-11-16,NED (Brd) (SD),2008-02-01,2016-12-01
IRONWOOD PHARMACEUTICALS INC,1623243,Creabilis Ltd,2291288,Catherine Moukheibir,1270861,Independent Director (Brd) (SD),2019-04-02,,Chairwoman (Non-Executive) (Brd) (SD),,
GENERAL FINANCE CORP,107017,GFN North America Leasing Corp,2291291,Jody Miller,1009766,Executive VP (Non-Brd),2015-06-01,2017-01-03,CEO (Brd) (ED),2016-06-01,2017-01-03
Bensussen Deutsch & Associates LLC,1342940,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,Tod Leiweke,1539617,Advisory Council Member (Non-Brd),,,CEO (Non-Brd),,2016-01-01
Enterprise Florida Inc,133351,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,Jeff Vinik,1613871,Director -  SD (Brd) (SD),,,Partner (Non-Brd),2010-01-01,
Dreamit Ventures LLC,1681671,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,Jeff Vinik,1613871,Partner (Brd) (ED),2018-01-01,,Partner (Non-Brd),2010-01-01,
SMS Assist LLC,1985566,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,Jeff Vinik,1613871,Advisory Board Member (Non-Brd),,,Partner (Non-Brd),2010-01-01,
Electrocore Inc (Electrocore LLC prior to 06/2018) (Listed 06/2018),2068956,Strategic Property Partners LLC,2291300,Jeff Vinik,1613871,Director -  SD (Brd) (SD),,,Partner (Non-Brd),2010-01-01,
Livongo Health Inc (EosHealth Inc prior to 09/2014) (Listed 07/2019),2155204,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,Jeff Vinik,1613871,Observer (Non-Brd),2016-01-01,2019-07-25,Partner (Non-Brd),2010-01-01,
Enterprise Florida Inc,133351,Strategic Property Partners LLC (SPP Real Estate LLC),2291300,James Nozar,1960027,Director -  SD (Brd) (SD),,,CEO (Non-Brd),2016-03-01,
