name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Tom Waters,998315,Easter Seals Southwest Florida,1933068,No,No,President/CEO,2014-10-13,
Dave Erskine,1295494,Erbacon Construction (Pty) Ltd (Ceased Trading 03/2011),1933069,Yes,No,MD,,
Jock Graham,1295547,Cabre Maroc Ltd,1933070,No,No,Vice President,1997-10-01,2001-11-01
Valerie Lorentz-Poinsot,1201190,Boiron USA Inc,1933071,Yes,Yes,Director - SD,,
Thomas Andersson,1673012,Sapa Profiles Inc,1933075,No,No,Marketing Manager,2003-05-01,2006-05-01
Dick Covington,835922,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2007-12-08,2017-01-30
Mark Brown,1299117,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2015-04-15,
Mark Brown,1299117,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2007-12-08,2013-02-28
Bob Edwards,1370519,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2013-07-11,
Linda Cook,183651,Chrysaor Holdings Ltd,1933077,Yes,Yes,Chairman (Non-Executive),2017-01-30,
Steve Farris,37421,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2017-01-30,
Bob Thomas,746886,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2017-01-30,
Doctor Andrew Jamieson,445376,Chrysaor Holdings Ltd,1933077,Yes,Yes,NED,2017-01-30,
Manel Sweetmore,1617066,Yopa Inc,1933079,No,No,Senior Director - Business Development,2000-08-01,2001-06-01
Pradeep Tagare,836042,Yopa Inc,1933079,No,No,CEO,1997-01-01,2001-01-01
Sunil Sanghavi,2114317,Yopa Inc,1933079,No,No,President/CEO,1999-01-01,2001-01-01
Erik Charles,1751289,Yopa Inc,1933079,No,No,Sales Manager,2000-01-01,2001-01-01
David Donnelly,1295535,Addfuture Ltd (Ceased Trading 10/1997),1933080,Yes,Yes,NED,1991-07-13,1997-10-23
Jock Graham,1295547,Cabre Exploration (Cyprus) Ltd,1933082,No,No,Vice President - Exploration,1996-10-01,1997-10-01
Peter Haverson,1309500,Cabre Exploration (Cyprus) Ltd,1933082,No,No,MD/General Manager,,
David Donnelly,1295535,Public Art Development Trust Ltd (Ceased Trading 12/2008),1933083,Yes,Yes,NED,1998-03-17,2001-08-31
David Donnelly,1295535,5 Half Moon St Management Ltd,1933086,Yes,Yes,NED,1992-10-05,2005-08-31
Tom Barton,1295770,TUB Energy LP,1933087,No,No,Partner,,
David Donnelly,1295535,Gordon House Partners LP,1933088,Yes,Yes,NED,,
The Hon. Dave Richins,1472014,Salinity Group,1933089,No,No,Committee Member,,
Daniel Daoust,2132080,Sapa Heat Transfer AB,1933090,No,No,Regional Manager,2009-09-01,2012-07-01
Lannone Brown,1295552,Eleford & Co Inc,1933093,No,No,President,1956-01-01,
Tom Barton,1295770,LTB Partners Ltd,1933094,No,No,Partner,,
David Donnelly,1295535,FF&P General Partner (No 2) Ltd (Officeridge Ltd prior to 8/2004),1933095,Yes,Yes,NED,2006-11-10,2008-11-17
Tom Barton,1295770,6620 North Eagle Ridge LLC,1933096,No,No,Partner,,
Tom Barton,1295770,White Rock Capital Partners III LP,1933097,No,No,Partner,,
Dave Muessel,1317690,CPEX Real Estate Operations LLC,1933098,No,No,MD - Leasing,2011-04-01,2013-09-01
Sean Kelly,1317688,CPEX Real Estate Operations LLC,1933098,No,No,Division MD,2012-01-01,2016-12-01
Sean Kelly,1317688,CPEX Real Estate Operations LLC,1933098,No,No,Associate Director,2009-03-01,2012-01-01
Ryan Condren,1317678,CPEX Real Estate Operations LLC,1933098,No,No,MD - Leasing,2011-03-01,
Ryan Condren,1317678,CPEX Real Estate Operations LLC,1933098,No,No,Associate Director,2008-01-01,2011-03-01
Scott Burk,1317676,CPEX Real Estate Operations LLC,1933098,No,No,MD - Sales,2012-07-01,2015-03-01
Scott Burk,1317676,CPEX Real Estate Operations LLC,1933098,No,No,Associate Director,2010-02-01,2012-07-01
Carl Matos,1317217,CPEX Real Estate Operations LLC,1933098,No,No,MD,2010-08-01,
Greg Roberts,1317216,CPEX Real Estate Operations LLC,1933098,No,No,Partner/COO,2014-01-01,
Greg Roberts,1317216,CPEX Real Estate Operations LLC,1933098,No,No,COO,2011-06-01,2014-01-01
Greg Roberts,1317216,CPEX Real Estate Operations LLC,1933098,No,No,MD,2010-05-01,2011-06-01
Tim King,1317214,CPEX Real Estate Operations LLC,1933098,No,No,Managing Partner,2008-09-01,
Brian Leary,1317210,CPEX Real Estate Operations LLC,1933098,No,No,Managing Partner,2008-09-01,2018-01-01
Aron Orbach,1728330,CPEX Real Estate Operations LLC,1933098,No,No,Associate,2012-06-01,2012-08-01
Stephen Safina,1850629,CPEX Real Estate Operations LLC,1933098,No,No,Associate Director - Sales,2012-03-01,2017-01-01
Stephen Safina,1850629,CPEX Real Estate Operations LLC,1933098,No,No,MD,2017-01-01,
Stephen Safina,1850629,CPEX Real Estate Operations LLC,1933098,No,No,Associate,2008-10-01,2012-03-01
Rich Novak,1850627,CPEX Real Estate Operations LLC,1933098,No,No,MD - Acquisitions,2017-01-01,2017-05-01
