name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Cecilia Boone,1769170,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Jason Dean,1772193,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Intern,2008-05-01,2008-08-01
Shivani Jha,1773081,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2004-03-01,2004-11-01
Dan Nagy,1771923,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Managing Principal,1999-01-01,2000-03-01
Vanitha Narayanan,1771038,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division Chairman,2017-01-04,2018-03-01
Dan Beer,1765948,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Performance,2013-01-01,2016-08-01
Andreas Neumann,1771511,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Engineer,2004-07-01,2008-06-01
Joseph Jones,1777072,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,2004-08-01,2008-08-01
John Miller Jr,1778413,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,,1989-08-01
Andy Wike,1771773,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Andrew Fingerman,1768341,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Intern,2004-06-01,2004-08-01
Lawrence Polsky,1777709,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Dan Beer,1765948,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Mergers & Acquisitions,2010-01-01,2013-01-01
Vanitha Narayanan,1771038,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division MD,2013-01-03,2017-01-04
Andy Clark,1773124,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2001-01-01,2006-03-01
