name,name_id,dob,dod,age,gender,nationality
Charles Tyson,605805,1961,n.a.,58,M,
Parke Hess Jr,605806,1957,n.a.,62,M,
Matt Schafnitz,605807,1943,n.a.,76,M,
Lenna Macdonald,605809,1963,n.a.,56,F,
Kevin Burns,605810,1970,n.a.,49,M,
Mike Elia,605812,1958,n.a.,61,M,
Jake Erhard,605820,1974,n.a.,45,M,
Doctor Gordon Parry,605828,1951,n.a.,68,M,
Craig Mallick,605833,1952,n.a.,67,M,American
J Renner,605834,n.a.,n.a.,,M,
Phuong Tram,605835,1954,n.a.,65,M,
Ken Nelson,605837,1952,n.a.,67,M,
Rick Efkeman,605838,1949,n.a.,70,M,American
Anton Lukac,605839,1963,n.a.,56,M,Slovak
John Price,605840,1947,n.a.,72,M,American
Jim Kelsoe Jr,605842,1962,n.a.,57,M,
Eric Kirchner,605844,1959,n.a.,60,M,
Achilleas Veziris,605845,n.a.,n.a.,,M,
Bill Leitner III,605846,n.a.,n.a.,,M,
Herb Schmidt,605847,1955,n.a.,64,M,
Felicia Fields,605849,1965,n.a.,54,F,
Steve Coffman,605858,1962,n.a.,57,M,
Ronald Artinian,605859,1948,n.a.,71,M,
Alfred Pastore,605860,n.a.,n.a.,,M,
John Jakubek,605861,1952,n.a.,67,M,
Michael McGrath Jr,605866,n.a.,n.a.,,M,
Jim Grady,605867,n.a.,n.a.,,M,
Peter Hearn,605872,1955,n.a.,64,M,
Dan Hill III,605875,1944,n.a.,75,M,
Morris Shambley,605876,1940,n.a.,79,M,
Doctor Michele Bronson,605877,n.a.,n.a.,,F,
Doctor Mohammad Hirmand,605878,n.a.,n.a.,,M,
Doctor Joyce Mordenti,605879,n.a.,n.a.,,F,
Brian Rich,605882,1959,n.a.,60,M,
Gunn Sztuka-Gunn,605887,1971,n.a.,48,F,
Greg Arms,605890,n.a.,n.a.,,M,
John Linnartz,605896,1960,n.a.,59,M,
Alisha Charlton,605906,1969,n.a.,50,F,
John Carr,605909,1960,n.a.,59,M,
Pete Montano,605910,n.a.,n.a.,,M,
Ed Conaway,605911,1955,n.a.,64,M,
Nicholas Spencer,605912,n.a.,n.a.,,M,
Saul Gonzalez,605913,1957,n.a.,62,M,
Gary Kowalski,605914,n.a.,n.a.,,M,American
John Meehan,605915,n.a.,n.a.,,M,
Bob Bassett,605916,n.a.,n.a.,,M,American
Joe Meehan,605917,n.a.,n.a.,,M,
David Tremblay,605918,n.a.,n.a.,,M,
Joseph Villani Jr,605919,n.a.,n.a.,,M,
John Wilhelm,605922,n.a.,n.a.,,M,
Mike Sheehan,605923,1961,n.a.,58,M,American
Leonard Wiatr,605924,1947,n.a.,72,M,
Doctor John Sherwin,605925,n.a.,n.a.,,M,
Steven Weeks,605926,1956,n.a.,63,M,
Andrew Vesey,605929,1956,n.a.,63,M,
E Clarke,605930,1961,n.a.,58,M,
Everette Riley,605931,n.a.,n.a.,,M,
Terry Sambrook,605932,n.a.,n.a.,,F,
Jeff Coe,605933,1952,n.a.,67,M,
Ben Allen,605934,1965,n.a.,54,M,
Donna Grier,605935,1958,n.a.,61,F,American
Jim Porter Jr,605936,21 Aug 1943,n.a.,75,M,American
Brett Kaufman,605937,1972,n.a.,47,M,
Diane Williams,605938,n.a.,n.a.,,F,
Everett Plante Jr,605939,n.a.,n.a.,,M,
George Schweitzer,605941,1955,n.a.,64,M,
Russ Koeniger,605942,n.a.,n.a.,,M,
Ritchie Bond,605943,1957,n.a.,62,M,American
Rodger Fuller,605944,1962,n.a.,57,M,
Marty Pignone,605945,1956,n.a.,63,M,
Sallyanne Ballweg,605946,1955,n.a.,64,F,
Shane Butler,605947,n.a.,n.a.,,M,
Barry Saunders,605948,1958,n.a.,61,M,
Mark Kosovec,605949,1956,n.a.,63,M,American
Faina Medzonsky,605950,n.a.,n.a.,,F,
Robyn Kravit,605951,1954,n.a.,65,F,
Derek Lane,605952,1956,n.a.,63,M,American
Roberta Bowman,605954,1955,n.a.,64,F,American
Chris Yellowega,605956,1971,n.a.,48,M,
Larry Conley,605957,1951,n.a.,68,M,
Kevin Killips,605958,1954,n.a.,65,M,
Shelley Simpson,605959,1971,n.a.,48,F,
Traci Hollingshead,605960,n.a.,n.a.,,F,
Martin Cozyn,605961,1961,n.a.,58,M,
Jerry Prout,605962,n.a.,n.a.,,M,
Rick Holland,605965,1953,n.a.,66,M,
Peter Fyhrie,762417,n.a.,n.a.,,M,
Sara Wilkins,605967,1954,n.a.,65,F,
Steve Wexler,605968,1960,n.a.,59,M,
Art Dibari,605969,1957,n.a.,62,M,
Dave Dahlquist,605971,1974,n.a.,45,M,
Horst Baier,605972,20 Oct 1956,n.a.,62,M,German
Larry Bloomenkranz,605973,1957,n.a.,62,M,
Wendy Milici,605977,1971,n.a.,48,F,
Lori Zarkowski,605978,1975,n.a.,44,F,
Eric Arneson,605980,1974,n.a.,45,M,
George Kilguss III,605984,1961,n.a.,58,M,
Sallie DeMarsilis,605985,1964,n.a.,55,F,
Michael Koch,605988,n.a.,n.a.,,M,
Jim Kerstein,605991,1959,n.a.,60,M,
Marc Green,605993,1948,n.a.,71,M,
Jim Kasim,605997,1968,n.a.,51,M,
Bruno Darr,606002,1970,n.a.,49,M,
Spencer Zimmerman,606003,n.a.,n.a.,,M,
Patrick Medvecz,606004,1963,n.a.,56,M,
Mike Higgins,606005,n.a.,n.a.,,M,
Sherri Lemmer,606006,1967,n.a.,52,F,
David Robinson,606007,1959,n.a.,60,M,
Mark Kochvar,606008,1960,n.a.,59,M,
Michelle Petrovsky,606009,1967,n.a.,52,F,
Cindy Knoebel,606010,n.a.,n.a.,,F,
Johannes Ikdal,606011,1957,n.a.,62,M,
Alice Herald,606013,1950,n.a.,69,F,American
Damian Georgino,606014,1960,n.a.,59,M,
Julie White,606015,1954,n.a.,65,F,
Katie Hadenfeldt,606016,n.a.,n.a.,,F,
Bill Fromenthal,606017,1954,n.a.,65,M,
Doctor Vincent Dungan,606018,1962,n.a.,57,M,American
Jeff Fulmer,606019,1961,n.a.,58,M,
Doctor Johnny Magwood,606020,1949,n.a.,70,M,American
Joe Ramsey,606021,n.a.,n.a.,,M,American
James Calmas,606022,n.a.,n.a.,,M,
Erik Weisman,606023,n.a.,n.a.,,M,
Paul Battles,606024,n.a.,n.a.,,M,
Chris Barris,606028,n.a.,n.a.,,M,
David Bowser,606030,n.a.,n.a.,,M,
Kent Wosepka,606031,n.a.,n.a.,,M,
Dave Hunter,606032,1965,n.a.,54,M,
Max Reichenthal,606034,1958,n.a.,61,M,
Henner Bottcher,606035,n.a.,n.a.,,M,
Bradley Lines,606039,1956,n.a.,63,M,
Adrienne Markham,606041,23 Oct 1951,n.a.,67,F,
Keith Krzeminski,606043,1961,n.a.,58,M,
Rosemary Quinn,606046,1954,n.a.,65,F,
Steve Wallace,606052,n.a.,n.a.,,M,
Neil Jones,606056,n.a.,n.a.,,M,
Dwight Arn,606060,1951,n.a.,68,M,
Bill Cella,606061,1950,n.a.,69,M,
Brad Moore,606063,1947,n.a.,72,M,
Doctor Khoon Ooi,606067,n.a.,n.a.,,M,
Tank Williams,606071,n.a.,n.a.,,M,
Jennifer Spaude,606078,n.a.,n.a.,,F,
Steve Speidel,606079,1965,n.a.,54,M,
Simon Orange,606080,08 Aug 1967,n.a.,51,M,British
Steve Gilbert,606084,n.a.,n.a.,,M,
Jefferson Easley,606085,1962,n.a.,57,M,
Stephen Greer,606086,n.a.,n.a.,,M,
Bo Kastensson,606087,1951,n.a.,68,M,Swedish
Jay Zammit,606089,n.a.,n.a.,,M,
Scott Gallett,606090,1966,n.a.,53,M,
Jim Perry,606091,n.a.,n.a.,,M,
Doctor Brian Moss,606092,n.a.,n.a.,,M,
Misti Ushio,606093,1972,n.a.,47,F,
Vyvyan Martin,606094,n.a.,n.a.,,M,
Anthony Potter,606095,1964,n.a.,55,M,
Kerry Fulton,606096,n.a.,n.a.,,M,
Jennifer McGovern,606098,1977,n.a.,42,F,
Rod de Courcy-Ireland,606099,n.a.,n.a.,,M,
Michael Pettit,606100,1967,n.a.,52,M,
Mark Doherty,606101,1965,n.a.,54,M,
Dennis Weese,606102,1963,n.a.,56,M,
Tony Henshaw,606103,1954,n.a.,65,M,
Lawrie Payne,606105,n.a.,n.a.,,M,
J Farr,606106,1961,n.a.,58,M,
Leigh Wilson,606108,1944,n.a.,75,M,
Graham Warren,606110,1962,n.a.,57,M,
Arthur Millholland,606111,1960,n.a.,59,M,
John Summers,606113,n.a.,n.a.,,M,
Brian Ward,606114,n.a.,n.a.,,M,
Frank Wormsbecker,606115,n.a.,n.a.,,M,
Bill Smith,606116,n.a.,n.a.,,M,
William Grant,606117,n.a.,n.a.,,M,
Michael Wood,606118,n.a.,n.a.,,M,
John Willis,606121,n.a.,n.a.,,M,
John Cowan,606123,n.a.,n.a.,,M,
Brad Hurtubise,606125,1958,n.a.,61,M,
Jack Lee,606126,1949,n.a.,70,M,
Gerry Roe,606130,n.a.,n.a.,,M,
Roderick McKinnon,606131,n.a.,n.a.,,M,
Rod Christensen,606132,n.a.,n.a.,,M,
Stephen Bowman,606133,1963,n.a.,56,M,
Court Carruthers,606134,1972,n.a.,47,M,Canadian
John Clarke,606136,1951,n.a.,68,M,
Cristen Kogl,606137,n.a.,n.a.,,M,
Michael Cairns,606138,n.a.,n.a.,,M,
Chris Hopkins,606139,n.a.,n.a.,,M,
Aleksandra Owad,606140,1964,n.a.,55,F,
Doctor Alex Kulpecz Jr,606144,1954,n.a.,65,M,
John Cullen,606145,n.a.,n.a.,,M,
Bob Chenery,606148,n.a.,n.a.,,M,
Charlotte May,606149,n.a.,n.a.,,F,
Kim Galavan,606152,n.a.,n.a.,,F,
Teresa Parker,606153,n.a.,n.a.,,F,
Cyrille Conseil,606154,n.a.,n.a.,,M,
Andrew Schultheis,606155,1970,n.a.,49,M,
Tony Agnone Sr,606157,1953,n.a.,66,M,
Kevin Sarney,606159,1964,n.a.,55,M,
Doctor Andrea Fiumicelli,606160,1960,n.a.,59,M,Italian
Jean Vernet,606165,18 Mar 1961,n.a.,58,M,French
Mark Lehman,606169,1959,n.a.,60,M,
Alex Ko,606171,1966,n.a.,53,M,
Ronald Kanterman,606174,1954,n.a.,65,M,
Tony Perry,606176,1936,n.a.,83,M,British
Ravi Venkatesan,606178,1963,n.a.,56,M,
Mitch Feldman,606180,1953,n.a.,66,M,
Jofi Alexander,606181,n.a.,n.a.,,M,
Carl Hess,606187,1962,n.a.,57,M,
Steve Godfrey,606190,n.a.,n.a.,,M,
Justin LaFayette,606191,1969,n.a.,50,M,
Jamey Barnes,606193,1951,n.a.,68,M,
Thomas Kassouf,606195,1952,n.a.,67,M,
Kevin Patrick,606198,1960,n.a.,59,M,
Sharon Pennington,606199,1962,n.a.,57,F,
Dan Garramone Jr,606200,05 Jun 1953,n.a.,66,M,American
Iain Boyd,606201,1962,n.a.,57,M,
Lori Burke,606202,1952,n.a.,67,F,American
Govind Arora,606203,1949,n.a.,70,M,
Anup Banerjee,606204,n.a.,n.a.,,M,
Guy Francesconi,606205,1959,n.a.,60,M,
Brad Lewis,606206,1963,n.a.,56,M,
John Gvozdjak,606207,1956,n.a.,63,M,
Manuel Macedo,606208,n.a.,n.a.,,M,
Gary Henning,606209,1953,n.a.,66,M,
Nancy Moore,606210,1949,n.a.,70,F,
Paula Trustdorf,606212,1946,n.a.,73,F,
Joshua Jamison,606213,1955,17 May 2010,59,M,
Doctor Robert Leslie,606214,n.a.,n.a.,,M,
Bill Cherwayko,606215,n.a.,n.a.,,M,
Mary White,606216,1962,06 Mar 2009,51,F,
Kemper Allison,606217,1959,n.a.,60,M,
James Chugg,606218,n.a.,n.a.,,M,
Jean Hubbard,606221,1957,n.a.,62,F,
David Halpin,606222,n.a.,n.a.,,M,
Daryl Fridhandler,606223,n.a.,n.a.,,M,
John Elgar,606225,n.a.,n.a.,,M,
Don Patton Jr,606226,1952,n.a.,67,M,
Kevin Gibson,606227,n.a.,n.a.,,M,
Paolo Degola,606229,1957,n.a.,62,M,
Gabor Jellinek,606230,n.a.,n.a.,,M,
Mary Szela,606231,1963,n.a.,56,F,
Georges Diserens,606232,n.a.,n.a.,,M,Swiss
F Vickers Jr,606233,n.a.,n.a.,,M,
Mark Friedman,606234,20 Jan 1957,n.a.,62,M,American
Mark Woitas,606235,n.a.,n.a.,,M,
Ed Fiorentino,606236,27 Oct 1958,n.a.,60,M,American
Even Hurwitz,606237,1962,n.a.,57,M,
Doctor John Leonard,606238,1957,n.a.,62,M,
Jean-Claude Kunz,606239,n.a.,n.a.,,M,
Simon Langelier,606240,n.a.,n.a.,,M,
Matteo Pellegrini,606241,1962,n.a.,57,M,
David Stafford,606242,n.a.,n.a.,,M,
Kelly Kerr,606244,n.a.,n.a.,,M,
Salvador Rivera,606245,n.a.,n.a.,,M,
Steve Gibson,606246,1958,16 Dec 2006,52,M,
Mark Almeida,606247,1959,n.a.,60,M,
Andrew Kriegler,606248,1948,n.a.,71,M,
Glen Tanaka,606249,n.a.,n.a.,,M,
Jeff Hare,606250,1948,n.a.,71,M,
Ed Kalthoff,606251,n.a.,n.a.,,M,
Jim Scully,606252,n.a.,n.a.,,M,
Blair Worrall,606253,1956,n.a.,63,M,
Michael Kanef,606255,n.a.,n.a.,,M,
Miroslaw Zielinski,606256,1961,n.a.,58,M,Polish
Patrick Ward,606257,n.a.,n.a.,,M,
Hugh Ross,606259,n.a.,n.a.,,M,
A Macdonald,606260,n.a.,n.a.,,M,
R McKay,606266,n.a.,n.a.,,M,
Ketan Panchmatia,606267,n.a.,n.a.,,M,
Dennis Coker,606271,1967,n.a.,52,M,
Dave Beran,606272,1954,n.a.,65,M,
Linda Warren,606273,1948,n.a.,71,F,
Steven Sprecher,606278,05 Apr 1955,n.a.,64,M,American
Gus Siekierka,606279,1949,n.a.,70,M,
Chris Bird,606280,1965,n.a.,54,M,
R Kinscherff,606286,1958,n.a.,61,M,
Debby Grabe,606297,1963,n.a.,56,F,
Joachim Psotta,606308,1957,n.a.,62,M,
Bob Winegard,606309,n.a.,n.a.,,M,
Jim Wilson,606313,1964,n.a.,55,M,
John Hillenbrand,606317,n.a.,n.a.,,M,
Dennis Dabney,606328,n.a.,n.a.,,M,
Tom Shea,606334,1963,n.a.,56,M,
Doctor Niomi Krzystowczyk,606345,n.a.,n.a.,,F,
Brian O'Neill,606349,28 Feb 1953,n.a.,66,M,
Jack Stack,606350,04 Aug 1946,n.a.,72,M,American
Lloyd Crasto,606353,n.a.,n.a.,,M,
Dave Millet,606355,n.a.,n.a.,,M,
Karl Meyer,606356,n.a.,n.a.,,M,
Lens Smith,606357,n.a.,n.a.,,M,
John Kuzdal,606362,1965,n.a.,54,M,
Simon Nicholls,606363,09 Jun 1964,n.a.,55,M,British
Doctor Dominique Bridon,606370,1958,n.a.,61,M,
John Bingle,606382,n.a.,n.a.,,M,
Cindy Kerker,606383,n.a.,n.a.,,F,
Lubna Tahboub,606384,n.a.,n.a.,,M,
Amy McGann,606385,n.a.,n.a.,,F,
Tom Giacomini,606386,1965,n.a.,54,M,
Michael Meyer,606387,1957,n.a.,62,M,
Marguerite Woung-Chapman,606388,1965,n.a.,54,F,
Dave Dohnalek,606390,1958,n.a.,61,M,
Keith Jensen,606392,1958,n.a.,61,M,
Mike Hibberd,606394,1956,n.a.,63,M,Canadian
Terry Biehl,606395,n.a.,n.a.,,M,
Jim White,606396,1964,n.a.,55,M,
Don Stichler,762418,n.a.,n.a.,,M,
William Kaufmann,606397,n.a.,n.a.,,M,
Donald Weis,606398,1971,n.a.,48,M,
John McLeod,606399,18 Nov 1946,n.a.,72,M,Canadian
Greg Turnbull,606400,1954,n.a.,65,M,Canadian
Bryce Van Kooten,606401,1968,n.a.,51,M,
Michael Gulbenkian,606402,n.a.,n.a.,,M,
Rick Davis,606403,n.a.,n.a.,,M,
Brain Smith,606404,n.a.,n.a.,,M,
Jay Foreman,606405,n.a.,n.a.,,M,
Doctor Armen Sahakian,606406,1939,n.a.,80,M,
Paul Barnett,606407,n.a.,n.a.,,M,
James Gordon,606408,1954,n.a.,65,M,
Doctor Karl Loomis,606409,1947,n.a.,72,M,
Terry Hemmelgarn,606410,1963,n.a.,56,M,
Dave Edwards,606411,n.a.,n.a.,,M,
Grant Markham,606414,1947,n.a.,72,M,
Delancey Davis,606417,1965,n.a.,54,M,
Jean Gandur,606419,18 Feb 1949,n.a.,70,M,Swiss
Datuk Brian Anderson,606420,1943,n.a.,76,M,
Jim Davie,606422,1943,n.a.,76,M,
Stephen De Heinrich,606423,1942,n.a.,77,M,
Gerry Macey,606424,1945,n.a.,74,M,Canadian
Mike Kapral Jr,606425,1962,n.a.,57,M,
Afolabi Oladele,606426,25 Jun 1951,n.a.,68,M,Nigerian
James Pearce,606427,1949,n.a.,70,M,
Dan Duffy,606428,1961,n.a.,58,M,
Jeff Kilrea,606429,1961,n.a.,58,M,
Michael Ebsary,606430,1961,n.a.,58,M,
David Codd,606432,1952,n.a.,67,M,British
Vince Ippolito,606435,1958,n.a.,61,M,
Craig Boundy,606436,1974,n.a.,45,M,
Joseph O'Brien Jr,606437,1963,n.a.,56,M,
Geno Germano,606438,1960,n.a.,59,M,
Sandy Mico,606439,n.a.,n.a.,,F,
Mark Rozells,606440,1962,n.a.,57,M,
Bryant Patton,606441,1958,n.a.,61,M,
Daniel Berdat,606446,n.a.,n.a.,,M,
Bob Gerrard Jr,606447,1952,n.a.,67,M,
Harrison Blacker,606449,1950,n.a.,69,M,
Scott Baxter,606450,1964,n.a.,55,M,
Darin Schaeffer,606452,1966,n.a.,53,M,
David Baggett,606454,1962,n.a.,57,M,
Rory Fisher,606456,Apr 1951,n.a.,68,M,American
Maleyne Syracuse,606459,1956,n.a.,63,F,
Donald Braun Jr,606470,n.a.,n.a.,,M,
William Kelly,606477,1970,n.a.,49,M,
Mark DeLuzio,606486,1956,n.a.,63,M,
Tom Johnson,606487,1950,n.a.,69,M,
Joe Schwertz Jr,606489,1957,n.a.,62,M,
John Zerkle,606491,1955,n.a.,64,M,
Theodore Haddad Jr,606492,1963,n.a.,56,M,
Deborah Kern-Knoblock,606493,n.a.,n.a.,,F,
Michael Lundin,606496,1960,n.a.,59,M,
Buddy Breerwood III,606497,1974,n.a.,45,M,
Alan Marks,606498,1962,n.a.,57,M,
Kim Snyder,606500,1962,n.a.,57,F,
Carolyn Bartholomew,606501,1958,n.a.,61,F,
Denise Coll,606502,1953,n.a.,66,F,
Jay Simmons,606503,1957,n.a.,62,M,
Sam Shen,606504,29 Jul 1960,n.a.,58,M,Taiwanese
Karen Novotny,606506,n.a.,n.a.,,F,
Ben Lutek,606507,1958,n.a.,61,M,
David McFaul,606508,1956,n.a.,63,M,
Larry Knopf,606509,1960,n.a.,59,M,
Douglas Barr,606510,1949,n.a.,70,M,American
Nicholas Pappas,606511,n.a.,n.a.,,M,
Richard Hyde,606512,n.a.,n.a.,,M,
Robert Courtemanche,606513,n.a.,n.a.,,M,
Tim Anderson,606514,n.a.,n.a.,,M,
Doctor Menghis Bairu,606517,n.a.,n.a.,,M,
Doctor Jim Callaway,606518,1956,n.a.,63,M,
Frank Candido,762507,n.a.,n.a.,,M,
Stephen Sellhausen,606520,1958,n.a.,61,M,
John Hardy Jr,606521,1944,n.a.,75,M,
Elizabeth Bolgiano,606522,1962,n.a.,57,F,
Sal Chiovari,606524,1955,n.a.,64,M,
Adam Weigold,606526,22 Mar 1975,n.a.,44,M,
Molly Dillon,606527,1949,n.a.,70,F,
Mary Hauck,606529,n.a.,n.a.,,F,
Russ Werner,606530,n.a.,n.a.,,M,
Bruno LaCrampe,606532,n.a.,n.a.,,M,
Roger Kearns,606533,1963,n.a.,56,M,
Isabel Taylor,606534,n.a.,n.a.,,F,
Briggs Ferguson,606536,1966,n.a.,53,M,
Elizabeth Feher,606538,1960,n.a.,59,F,
Tavia McCuean,606539,n.a.,n.a.,,F,
Laurence Dors,606541,16 Mar 1956,n.a.,63,F,French
Dan Wollschlager,606543,1951,n.a.,68,M,
Bart Simpson,606546,1971,n.a.,48,M,
Jorge Isaac Filho,606550,n.a.,n.a.,,M,
Steve Rust,606554,1947,n.a.,72,M,
Gary Wagers,606555,1960,n.a.,59,M,
John Wagner,606556,1950,n.a.,69,M,
Don Wharton,606559,n.a.,n.a.,,M,
Eugene Sung,606560,1962,n.a.,57,M,
Gary Carlson,606561,1950,n.a.,69,M,
Marshall Bridges,606562,1969,n.a.,50,M,
Steven Bradford,606563,1957,n.a.,62,M,
Don Granholm,606564,1954,n.a.,65,M,
Laura Thompson,606565,26 Aug 1964,n.a.,54,F,American
Suzie Brown,606566,1959,n.a.,60,F,
John Lieblang,606567,1957,n.a.,62,M,
Mike Kelley,606568,1961,n.a.,58,M,
Todd Wiseley,606569,1969,n.a.,50,M,
Byron Hurey,606570,1947,n.a.,72,M,
Barry Graham,606572,n.a.,n.a.,,M,
Tony Sanchez III,606573,1966,n.a.,53,M,
E Bethel,606575,1963,n.a.,56,M,
Robert Stewart,606576,1949,n.a.,70,M,
Doug Gilbert,606578,n.a.,n.a.,,M,
Andy Jacobson,606579,n.a.,n.a.,,M,
Ehssan Malekian,606580,1969,n.a.,50,M,
Mike McHugh,606581,1947,n.a.,72,M,
Frank Pegueros,606582,1959,n.a.,60,M,
Joel Mariano,606583,n.a.,n.a.,,M,
John Patton Jr,606584,1959,n.a.,60,M,
Brian Ellefson,606585,n.a.,n.a.,,M,
Kathryn Killeen,606586,n.a.,n.a.,,F,
Greg Fahey,606587,1960,n.a.,59,M,
Tom McLoughlin,606588,n.a.,n.a.,,M,
Tony Dunn,606589,n.a.,n.a.,,M,
Charlie Booth,606590,n.a.,n.a.,,M,
Kevin Wirth,606591,n.a.,n.a.,,M,
Jill Cossaboom,606592,01 Dec 1964,n.a.,54,F,Filipino
Laura King,606594,1961,n.a.,58,F,
Winter Graham,606595,n.a.,n.a.,,F,
Andrew Borgstrom,606596,1961,n.a.,58,M,
Samira Badshah,606597,n.a.,n.a.,,F,
Doctor Roger Billingsley,606598,1951,n.a.,68,M,
Sharon Davis,606599,n.a.,n.a.,,F,
Sihem Di Cristo,606600,n.a.,n.a.,,F,French
