sector,market_cap,revenue,company,company_id,n_employee,state,headoffice_address,lat,lng
Wholesale Trade,6013,4547,WATSCO INC,33143,5200,Florida FL,2665 South Bayshore Drive Suite 901 Miami Florida FL 33133 United States,25.7303942,-80.236066
Leisure & Hotels,24028,9494,ROYAL CARIBBEAN CRUISES LTD,26625,77000,Florida FL,1050 Caribbean Way Miami  Florida FL 33132 United States,25.7752306,-80.1783085
Construction & Building Materials,15483,20572,LENNAR CORP,18703,11626,Florida FL,700 Northwest 107th Avenue Miami  Florida FL 33172 United States,25.7769431,-80.3703976
Electronic & Electrical Equipment,1144,1383,KEMET CORP,1650173,14350,Florida FL,KEMET Tower One East Broward Boulevard Fort Lauderdale Florida FL 33301 United States,26.1227754,-80.143137
Software & Computer Services,12406,2974,CITRIX SYSTEMS INC,6959,8200,Florida FL,851 West Cypress Creek Road Fort Lauderdale  Florida FL 33309 United States,26.2039173,-80.1539354
Electronic & Electrical Equipment,28020,1866,SBA COMMUNICATIONS CORP,27160,1347,Florida FL,8051 Congress Avenue Boca Raton  Florida FL 33487 United States,26.4197491,-80.0960051
Renewable Energy,107992,16727,NEXTERA ENERGY INC ,12407,9100,Florida FL,700 Universe Boulevard Juno Beach  Florida FL 33408 United States,26.8596034,-80.0593728
Banks,1305,291,SEACOAST BANKING CORP OF FLORIDA,27403,902,Florida FL,815 Colorado Avenue Post Box 9012 Stuart Florida FL 34994 United States,27.1917645,-80.2516853
Electronic & Electrical Equipment,37300,5191,ROPER TECHNOLOGIES INC ,26544,15611,Florida FL,6901 Professional Parkway East Suite 200 Sarasota Florida FL 34240 United States,27.3837107,-82.4317818
Electronic & Electrical Equipment,46623,6182,L3HARRIS TECHNOLOGIES INC ,14355,17500,Florida FL,1025 West Nasa Boulevard Melbourne  Florida FL 32919 United States,28.0907781,-80.6385483
Leisure & Hotels,14604,8510,DARDEN RESTAURANTS INC,8697,185000,Florida FL,1000 Darden Center Drive Orlando  Florida FL 32837 United States,28.418282,-81.4250584
Construction & Building Materials,3010,2384,TOPBUILD CORP,2300956,10300,Florida FL,475 North Williamson Boulevard Daytona Beach  Florida FL 32114 United States,29.1978199,-81.0842615
Oil & Gas,31400,117033,VALERO ENERGY CORP,32237,10261,Texas TX,One Valero Way San Antonio  Texas TX 78249 United States,29.5860851,-98.6054062
Oil & Gas,40605,18934,OCCIDENTAL PETROLEUM CORP,22899,11000,Texas TX,5 Greenway Plaza Suite 110 Houston Texas TX 77046 United States,29.7306593,-95.431783
Real Estate,10201,955,CAMDEN PROPERTY TRUST,5599,1600,Texas TX,11 Greenway Plaza Suite 2400 Houston Texas TX 77046 United States,29.7321329,-95.4354433
Oil & Gas,6403,4108,BUCKEYE PARTNERS LP,5272,1600,Texas TX,One Greenway Plaza Suite 600 Houston Texas TX 77046 United States,29.7327747,-95.4325967
Oil & Gas,45785,114217,PHILLIPS 66,1813482,14200,Texas TX,2331 CityWest Boulevard Houston  Texas TX 77042 United States,29.740913,-95.5609075
Oil & Gas,8216,7348,APACHE CORP,2307,3420,Texas TX,One Post Oak Central 2000 Post Oak Boulevard Suite 100 Houston Texas TX 77056-4400 United States,29.744689,-95.4616265
Oil & Gas,46600,32815,SCHLUMBERGER LIMITED,27242,1e+05,Texas TX,5599 San Felipe 17th Floor Houston Texas TX 77056 United States,29.749034,-95.473152
Telecommunication Services,56116,5423,CROWN CASTLE INTERNATIONAL CORP,8304,5000,Texas TX,1220 Augusta Drive Suite 600 Houston Texas TX 77057 United States,29.7546993,-95.48327
Utilities - Other,50465,14914,WASTE MANAGEMENT INC,33114,43700,Texas TX,1001 Fannin Street Houston  Texas TX 77002 United States,29.7557923,-95.3639415
Electricity,13588,10589,CENTERPOINT ENERGY INC,6271,7977,Texas TX,1111 Louisiana Street Houston  Texas TX 77002 United States,29.7571169,-95.3679888
Oil & Gas,62518,29242,ENTERPRISE PRODUCTS PARTNERS LP,10762,7000,Texas TX,1100 Louisiana Street 10th Floor Houston Texas TX 77002 United States,29.7575783,-95.3688473
Oil & Gas,46674,14144,KINDER MORGAN INC ,1687673,11012,Texas TX,1001 Louisiana Street Suite 1000 Houston Texas TX 77002 United States,29.7578446,-95.3673942
Oil & Gas,46269,17275,EOG RESOURCES INC ,10844,2800,Texas TX,1111 Bagby Street Sky Lobby 2 Houston Texas TX 77002 United States,29.7588117,-95.3706871
Food Producers & Processors,37572,58727,SYSCO CORP,29837,67000,Texas TX,1390 Enclave Parkway Houston  Texas TX 77077-2099 United States,29.7589177,-95.6201065
Oil & Gas,16072,7987,CHENIERE ENERGY INC,6592,1372,Texas TX,700 Milam Street Suite 1900 Houston Texas TX 77002 United States,29.7601109,-95.365608
Oil & Gas,62589,38727,CONOCOPHILLIPS COMPANY,24355,10800,Texas TX,925 North Eldridge Parkway Houston  Texas TX 77079 United States,29.7827834,-95.6184554
Chemicals,868,1577,US SILICA HOLDINGS INC,1795035,2812,Texas TX,24275 Katy Freeway Suite 600 Katy Texas TX 77494 United States,29.7845869,-95.7896594
Oil & Gas,16813,23995,HALLIBURTON CO,14212,60000,Texas TX,3000 North Sam Houston Parkway East Houston  Texas TX 77032 United States,29.937706,-95.3404606
Oil & Gas,10653,4986,NOBLE ENERGY INC ,22312,2330,Texas TX,1001 Noble Energy Way Houston  Texas TX 77070 United States,29.9948551,-95.5812153
Oil & Gas,219,999,TETRA TECHNOLOGIES INC,30483,2900,Texas TX,24955 Interstate 45 North The Woodlands  Texas TX 77380 United States,30.1242079,-95.4436303
Oil & Gas,11146,2248,WESTERN MIDSTREAM PARTNERS LP ,1912843,,Texas TX,1201 Lake Robbins Drive The Woodlands  Texas TX 77380-1046 United States,30.1604921,-95.4540554
Software & Computer Services,5249,833,SOLARWINDS CORP,2932362,2738,Texas TX,7171 Southwest Parkway Building 400 Austin Texas TX 78735 United States,30.2508065,-97.861761
Business Services,86227,8423,FIDELITY NATIONAL INFORMATION SERVICES INC ,6382,47000,Florida FL,601 Riverside Avenue Jacksonville  Florida FL 32204 United States,30.3184009,-81.6762696
Transport,54099,12250,CSX CORP,8383,22500,Florida FL,500 Water Street 15th Floor Jacksonville  Florida FL 32202 United States,30.3245211,-81.6640579
Information Technology Hardware,12813,90621,DELL TECHNOLOGIES INC,2519758,157000,Texas TX,One Dell Way Round Rock  Texas TX 78682 United States,30.4883856,-97.6704209
