university_id,university,n_grad,lat,lng
63013,Harvard Business School,2140,42.3655147,-71.1221412
54373,American Institute of Certified Public Accountants (AICPA),1623,35.9167901,-78.9825369
64966,Wharton School University of Pennsylvania,825,39.951273,-75.1978103
63830,Harvard University,789,42.3770029,-71.1166601
61935,Stanford University,757,37.4274745,-122.169719
61632,Princeton University,497,40.3430942,-74.6550739
67360,Stanford University Graduate School of Business,468,37.4280521,-122.1611732
62981,Yale University,443,41.3163244,-72.9223431
40436,Massachusetts Institute of Technology (MIT),442,42.360091,-71.09416
60457,Cornell University,381,42.4534492,-76.4735027
63187,University of Michigan,353,42.2780436,-83.7382241
77878,Kellogg School of Management Northwestern University,345,42.057427,-87.6719431
63035,Harvard Law School,336,42.3780901,-71.1188478
60434,Columbia University,329,40.8075355,-73.9625727
60488,Dartmouth College,302,43.7044406,-72.2886935
42092,University of Chicago,288,41.7886079,-87.5987133
63125,Harvard College,261,42.3829408,-71.1262508
1342262,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),254,41.7893172,-87.5961402
62215,University of California Berkeley,248,37.8718992,-122.2585399
62218,University of California Los Angeles (UCLA),243,34.068921,-118.4451811
60547,Duke University,238,36.0014258,-78.9382286
61424,New York University (NYU),234,40.7295134,-73.9964609
61494,Northwestern University,230,42.0564594,-87.675267
63118,Columbia Business School,228,40.8089292,-73.9613646
62673,University of Southern California (USC),209,34.0199189,-118.2860946
62579,University of Pennsylvania,208,39.9522188,-75.1932137
62777,University of Virginia,208,38.0335529,-78.5079772
62367,University of Illinois (UIC),205,41.8697938,-87.6496336
41274,Institute of Chartered Financial Analysts (ICFA) (USA),169,40.7520819,-73.9801809
60749,George Washington University,169,38.8997145,-77.0485992
60920,Indiana University,163,39.1754487,-86.512627
61278,Michigan State University (MSU),155,42.701848,-84.4821719
61561,Oxford University,147,51.7548164,-1.2543668
63283,Massachusetts Institute of Technology (MIT) Sloan School of Management,143,42.3609974,-71.0829087
61523,Ohio State University (OSU),142,40.0068363,-83.0306222
377927,United States Naval Academy (USNA),142,38.9820658,-76.4839405
60193,Boston College,135,42.3355488,-71.1684945
60195,Boston University,135,42.3504997,-71.1053991
42226,Leonard N Stern School of Business New York University,128,40.7290246,-73.9965649
100431,State University of New Jersey Rutgers (Rutgers University),128,40.5008186,-74.4473991
53191,Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),114,38.0524371,-78.5146441
62097,Tufts University,112,42.4074843,-71.1190232
38522,London School of Economics (LSE) (London School of Economics and Political Science),102,51.5144388,-0.1164513
61026,Johns Hopkins University,99,39.3299013,-76.6205177
62593,University of Pittsburgh,89,40.4443533,-79.960835
61143,Lehigh University,86,40.6048687,-75.3775187
61983,Syracuse University,82,43.0391534,-76.1351158
62155,University of Arizona (UOA),82,32.2318851,-110.9501094
60074,Arizona State University,78,33.4242399,-111.9280527
60627,Emory University,77,33.7971368,-84.32224
62904,Wellesley College,76,42.2935733,-71.3059277
61181,Louisiana State University (LSU),74,30.4132579,-91.1800023
63056,University of Colorado,73,40.007581,-105.2659417
52409,University of Missouri,72,38.9403808,-92.3277375
60290,Case Western Reserve University (CWRU),70,41.5043413,-81.6083838
62858,Villanova University,68,40.037056,-75.34358
62908,Wesleyan University,67,41.5566104,-72.6569041
60651,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),65,48.4056186,2.6861667
60229,Bucknell University,63,40.9547268,-76.8849378
60268,University of Cambridge,63,52.2042666,0.1149085
60120,Babson College,61,42.2964421,-71.2657077
77982,University of Virginia School of Law,61,38.0527259,-78.5105926
60671,Fairleigh Dickinson University,60,40.8980267,-74.0306732
574794,New York University School of Law,60,40.730537,-73.999499
75652,University of Michigan Law School,59,42.2737477,-83.7404695
60755,Georgia State University (GSU),58,33.753068,-84.3852819
63512,University of Massachusetts,58,42.3867598,-72.5300515
1578750,Loyola University Chicago,57,41.9989483,-87.6582592
77691,Stanford University School of Law,56,37.4238768,-122.1674405
44961,Kettering University (GMI Engineering & Management Institute prior to 01/1998),55,43.0115468,-83.7138531
61563,Pace University,53,40.7110772,-74.004811
62389,University of Kentucky,53,38.0306511,-84.5039697
63329,Queen's University,52,44.2252795,-76.4951412
61248,McGill University (Canada),50,45.503202,-73.5805571
64218,University of Tennessee,50,35.9544013,-83.9294564
80234,Wayne State University,48,42.3591388,-83.0665462
61585,Pepperdine University,44,34.0414045,-118.7095814
62216,University of California Davis,44,38.5382322,-121.7617125
74077,University of Pennsylvania Law School,44,39.9539144,-75.1928786
36362,Institute of Chartered Accountants in England and Wales (ICAEW),43,51.516384,-0.087887
60424,College of the Holy Cross,42,42.2392391,-71.8079608
61118,Lafayette College,42,40.6986202,-75.2087298
62214,University of California Santa Barbara (UCSB),42,34.4139629,-119.848947
757832,Haas School of Business University of California Berkeley,36,37.871558,-122.2537809
60432,Columbia College Columbia University,35,40.8067381,-73.9616521
1795510,Davidson College,34,35.5008018,-80.8446725
62795,University of Western Ontario,33,43.0095971,-81.2737336
60198,Bowdoin College,32,43.9076929,-69.9639971
60540,Drake University,32,41.6029128,-93.6552984
62278,University of Detroit,31,42.414062,-83.1379029
62511,University of Nebraska,31,40.8201966,-96.7004763
79469,Iona College,31,40.9251518,-73.7885629
533430,University of Texas School of Law Austin,31,30.2884104,-97.7307835
60157,Bentley University (Bentley College prior to 10/2008),30,42.3867756,-71.2203176
62035,Temple University,30,39.9811935,-75.1553512
62421,University of London,28,51.5229378,-0.1308206
110031,Squadron Officer School (SOS),28,32.3840025,-86.3467937
61171,London Business School,27,51.5261552,-0.160668
97372,University of Memphis (UoM),27,35.118741,-89.937141
875874,University at Albany State University of New York (State University of New York at Albany (SUNYA)),27,42.6849814,-73.824773
1244768,UCLA John E Anderson Graduate School of Management,27,34.0738081,-118.4436508
61284,Middlebury College,26,44.0081076,-73.1760413
62520,University of New Hampshire,26,43.138948,-70.9370252
60430,Colorado School of Mines (CSM),24,39.7510475,-105.2225708
62481,University of Mississippi,24,34.3647324,-89.538443
63077,Sciences Po (Institut d'Etudes Politiques de Paris) (IEP) (Paris Institute of Political Studies),24,48.8540917,2.3283745
60282,Carleton College,23,44.4613654,-93.1558264
62424,University of Louisville,23,38.2122761,-85.7585023
80404,Rochester Institute of Technology (RIT),23,43.0845894,-77.6743445
63488,Western Illinois University,22,40.4764166,-90.6871341
259346,Barnard College,22,40.8090974,-73.9639632
550078,University of Michigan Ann Arbor,22,42.2780436,-83.7382241
41177,International Institute for Management Development (IMD),20,46.510455,6.621905
62432,University of Maine,19,44.8955674,-68.6735534
78597,Samuel Curtis Johnson Graduate School of Management Cornell University (S C Johnson Graduate School of Management),19,42.4458947,-76.4832581
79279,Ball State University,19,40.2041356,-85.4058996
256182,Louisiana Tech University,19,32.5282644,-92.6499298
489153,University of the Witwatersrand,19,-26.1928836,28.0304733
856478,Carnegie Mellon University Tepper School of Business,19,40.4450795,-79.9453962
36355,Chartered Institute of Management Accountants (CIMA) (UK),18,51.5195082,-0.0870554
63471,Westminster College London,18,51.520718,-0.1220533
60833,cole des Hautes tudes Commerciales de Paris (HEC Paris School of Management) (HEC Paris),17,48.757334,2.1693947
62192,University of Birmingham,17,52.4508168,-1.9305135
63318,Universit de Paris (University of Paris),17,48.8469373,2.344468
90657,University of Nevada,17,39.5441917,-119.816397
482832,United States Air Force Air War College,17,32.3863592,-86.3439681
594394,Queens College,17,40.7366437,-73.8200894
606498,Johns Hopkins University School for Advanced International Studies (SAIS),17,38.90813,-77.040279
940956,CT Bauer College of Business University of Houston,17,29.7209377,-95.3393942
39472,Fairfield University,16,41.1588424,-73.2573886
42659,University of Cape Town,16,-33.957652,18.4611991
60610,University of Edinburgh,16,55.9445158,-3.1892413
61811,Seattle University,16,47.6091799,-122.3173119
1584273,Southern Methodist University Dedman School of Law,16,32.8463803,-96.7860934
60260,California State University Los Angeles (Formerly known as Los Angeles State College),15,34.0681911,-118.1690426
61758,Saint Mary's College of California,15,37.8416252,-122.1098786
62539,University of North Texas (UNT) (Formerly known as North Texas State University),15,33.207488,-97.1525862
62443,University of Manitoba,14,49.8075008,-97.1366259
60283,Carleton University,13,45.3875812,-75.6960202
60834,Haverford College,13,40.0093478,-75.305656
62266,Kbenhavns Universitet (University of Copenhagen),13,55.6802303,12.5724096
62658,University of Scranton,13,41.4056065,-75.656958
78735,Hampton University,13,37.0228392,-76.3343603
79409,Virginia Military Institute,13,37.79151,-79.435352
80702,US Army War College (USAWC),13,40.2102803,-77.1755376
60598,cole Polytechnique - Paris,12,48.7142971,2.2112917
78437,Abilene Christian University (ACU),12,32.469732,-99.708098
79974,St Bonaventure University,12,42.0784113,-78.4828822
124882,Phillips Academy Andover,12,42.6471655,-71.1322796
45641,Durham University,11,54.7649859,-1.5782029
